Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$47.8M,"Germany, Usa, China",Uk,295,High,1905,Qtr 3,July,17,7,New Rebecca,1905,Virtual Homogeneous Analyzer,Manned,3,Weather,56,Reusable Rocket
$36.1M,"Germany, Usa, France",Usa,19,Low,1905,Qtr 2,June,28,6,Pearsonstad,1905,Front-Line Well-Modulated Synergy,Unmanned,2,Navigation,96,Reusable Rocket
$27.4M,"Germany, Usa, France",Usa,45,Medium,1905,Qtr 2,June,29,6,Lake Natalieside,1905,Business-Focused Zero Tolerance Function,Manned,2,Navigation,63,Traditional Rocket
$44.8M,"Germany, Usa, Japan",Israel,13,High,1905,Qtr 3,July,10,7,Williamsburgh,1905,Object-Based Local Software,Manned,3,Navigation,58,Ai Navigation
$7.5M,"Germany, Usa, Japan",Israel,352,Medium,1905,Qtr 3,July,11,7,Lisashire,1905,Centralized Transitional Focus Group,Unmanned,3,Communication,82,Traditional Rocket
$31.4M,"Germany, Usa, Japan",Uae,84,Medium,1905,Qtr 3,July,5,7,South Russell,1905,Enterprise-Wide Demand-Driven Migration,Unmanned,3,Weather,77,Nuclear Propulsion
$12.7M,"Germany, Usa, Japan",Uk,24,Low,1905,Qtr 2,June,22,6,Guerraview,1905,Customer-Focused Heuristic Local Area Network,Manned,2,Research,89,Nuclear Propulsion
$6.4M,"Germany, Usa, Russia",Japan,157,High,1905,Qtr 2,June,27,6,Robertsonchester,1905,Advanced Neutral Neural-Net,Manned,2,Communication,50,Solar Propulsion
$42.9M,"Germany, Usa, Russia",Uae,17,Medium,1905,Qtr 3,July,11,7,Lake Andrea,1905,Customer-Focused Tangible Capability,Manned,3,Spy,92,Reusable Rocket
$0.8M,"Germany, Usa, Uk",Usa,17,Low,1905,Qtr 3,July,10,7,Brookehaven,1905,Front-Line 5Thgeneration Database,Manned,3,Spy,100,Solar Propulsion
$11.0M,"Germany, Usa, Uk",Usa,76,Medium,1905,Qtr 3,July,6,7,Taylorberg,1905,Realigned Tangible Alliance,Unmanned,3,Weather,84,Nuclear Propulsion
$40.8M,India,China,165,High,1905,Qtr 2,June,28,6,Lake Garrett,1905,Inverse Solution-Oriented Concept,Manned,2,Weather,68,Ai Navigation
$25.0M,India,China,21,High,1905,Qtr 3,July,15,7,Lake Jeffreyfurt,1905,Reactive Contextually-Based Policy,Manned,3,Communication,74,Nuclear Propulsion
$11.3M,India,China,32,High,1905,Qtr 3,July,17,7,Davismouth,1905,Multi-Tiered Non-Volatile Hardware,Manned,3,Navigation,79,Solar Propulsion
$39.8M,India,China,123,Low,1905,Qtr 2,June,24,6,North Tina,1905,Fully-Configurable Composite Utilization,Manned,2,Communication,67,Solar Propulsion
$37.3M,India,China,259,Low,1905,Qtr 3,July,10,7,Port Mandyberg,1905,User-Centric Multi-State Customer Loyalty,Manned,3,Research,76,Reusable Rocket
$42.3M,India,China,180,Low,1905,Qtr 3,July,11,7,Warrenburgh,1905,Customer-Focused Multimedia Middleware,Unmanned,3,Weather,53,Nuclear Propulsion
$29.0M,India,China,328,Low,1905,Qtr 3,July,14,7,West Staceyton,1905,Secured Actuating Analyzer,Manned,3,Communication,65,Ai Navigation
$8.2M,India,China,259,Low,1905,Qtr 3,July,15,7,North Mackenzie,1905,Automated 3Rdgeneration Encoding,Unmanned,3,Spy,60,Traditional Rocket
$33.4M,India,China,200,Medium,1905,Qtr 2,June,24,6,Bakerborough,1905,Universal Actuating Graphic Interface,Manned,2,Weather,87,Ai Navigation
$38.3M,India,China,218,Medium,1905,Qtr 2,June,26,6,North Mariahside,1905,Virtual Interactive Groupware,Manned,2,Research,99,Nuclear Propulsion
$35.6M,India,China,193,Medium,1905,Qtr 3,July,12,7,Port Caitlinmouth,1905,Balanced Executive Monitoring,Manned,3,Spy,73,Solar Propulsion
$4.6M,India,China,140,Medium,1905,Qtr 3,July,14,7,New Austinfurt,1905,Total Modular Database,Unmanned,3,Communication,52,Traditional Rocket
$26.3M,India,France,200,High,1905,Qtr 3,July,2,7,West Kevinport,1905,Reduced User-Facing Instruction Set,Unmanned,3,Research,81,Nuclear Propulsion
$9.0M,India,France,280,Low,1905,Qtr 2,June,27,6,West Veronica,1905,Automated Secondary Access,Unmanned,2,Spy,73,Nuclear Propulsion
$29.4M,India,France,27,Low,1905,Qtr 3,July,11,7,Petersonfort,1905,Down-Sized Asymmetric Core,Manned,3,Spy,95,Ai Navigation
$2.6M,India,France,209,Medium,1905,Qtr 2,June,22,6,Lisaburgh,1905,Down-Sized Bottom-Line Policy,Unmanned,2,Spy,90,Nuclear Propulsion
$7.4M,India,Germany,251,High,1905,Qtr 2,June,23,6,East Rogerchester,1905,Up-Sized Methodical Local Area Network,Unmanned,2,Research,87,Nuclear Propulsion
$27.0M,India,Germany,51,High,1905,Qtr 2,June,28,6,Nguyenburgh,1905,Extended Hybrid Support,Manned,2,Weather,82,Solar Propulsion
$21.2M,India,Germany,14,High,1905,Qtr 3,July,12,7,Jacksonton,1905,Digitized Eco-Centric Challenge,Unmanned,3,Navigation,56,Reusable Rocket
$41.6M,India,Germany,225,Low,1905,Qtr 3,July,14,7,North Joseph,1905,Grass-Roots Holistic Frame,Unmanned,3,Research,57,Traditional Rocket
$25.2M,India,Germany,144,Low,1905,Qtr 3,July,14,7,Thompsonton,1905,Cross-Group Directional Neural-Net,Unmanned,3,Communication,64,Reusable Rocket
$27.9M,India,Germany,365,Medium,1905,Qtr 3,July,8,7,Bonillatown,1905,Pre-Emptive Neutral Infrastructure,Manned,3,Navigation,96,Nuclear Propulsion
$15.3M,India,Germany,65,Medium,1905,Qtr 3,July,12,7,Millerbury,1905,Right-Sized Contextually-Based Portal,Manned,3,Navigation,78,Reusable Rocket
$35.1M,India,Germany,199,Medium,1905,Qtr 3,July,14,7,Jimenezfurt,1905,Switchable Analyzing Ability,Unmanned,3,Navigation,82,Reusable Rocket
$11.2M,India,India,42,High,1905,Qtr 3,July,4,7,North Valerie,1905,Persistent Uniform Superstructure,Manned,3,Navigation,51,Reusable Rocket
$33.7M,India,India,64,High,1905,Qtr 3,July,4,7,Port Catherineland,1905,Switchable Impactful Pricing Structure,Manned,3,Weather,100,Traditional Rocket
$24.1M,India,India,38,High,1905,Qtr 3,July,11,7,Lake Robin,1905,Compatible Explicit Product,Manned,3,Communication,66,Solar Propulsion
$27.8M,India,India,140,High,1905,Qtr 3,July,12,7,North Michaelville,1905,Team-Oriented Asymmetric Contingency,Manned,3,Weather,71,Reusable Rocket
$22.2M,India,India,351,Low,1905,Qtr 3,July,4,7,Autumnfurt,1905,Proactive Content-Based Matrix,Manned,3,Communication,81,Ai Navigation
$31.9M,India,India,287,Medium,1905,Qtr 2,June,26,6,Port Anaburgh,1905,Assimilated Coherent Task-Force,Manned,2,Spy,69,Nuclear Propulsion
$49.8M,India,India,137,Medium,1905,Qtr 2,June,30,6,Veronicafort,1905,Horizontal Even-Keeled Orchestration,Manned,2,Spy,67,Solar Propulsion
$23.0M,India,India,343,Medium,1905,Qtr 3,July,7,7,Burkemouth,1905,Cross-Platform Client-Server Frame,Unmanned,3,Research,54,Reusable Rocket
$48.0M,India,India,332,Medium,1905,Qtr 3,July,16,7,Trujilloborough,1905,Future-Proofed Bi-Directional Open Architecture,Unmanned,3,Weather,63,Nuclear Propulsion
$4.2M,India,Israel,170,High,1905,Qtr 3,July,6,7,North Vickie,1905,Future-Proofed Logistical Migration,Manned,3,Weather,94,Nuclear Propulsion
$9.0M,India,Israel,89,High,1905,Qtr 3,July,10,7,North Andrea,1905,Organized Responsive Paradigm,Manned,3,Spy,56,Solar Propulsion
$28.2M,India,Israel,40,High,1905,Qtr 3,July,12,7,Garciaton,1905,Upgradable Well-Modulated Extranet,Unmanned,3,Spy,87,Reusable Rocket
$17.6M,India,Israel,158,Low,1905,Qtr 2,June,27,6,Harrisville,1905,Intuitive Radical Methodology,Unmanned,2,Navigation,88,Traditional Rocket
$32.1M,India,Israel,275,Low,1905,Qtr 3,July,1,7,Acostashire,1905,Assimilated Local Customer Loyalty,Unmanned,3,Research,77,Solar Propulsion
$19.5M,India,Israel,95,Low,1905,Qtr 3,July,1,7,Smithchester,1905,Optimized Holistic Workforce,Manned,3,Navigation,82,Traditional Rocket
$27.0M,India,Israel,30,Low,1905,Qtr 3,July,12,7,North Christopher,1905,Distributed Real-Time Instruction Set,Manned,3,Navigation,99,Reusable Rocket
$20.4M,India,Israel,299,Medium,1905,Qtr 2,June,23,6,Brownborough,1905,Decentralized Radical Intranet,Unmanned,2,Research,61,Solar Propulsion
$36.1M,India,Israel,197,Medium,1905,Qtr 2,June,29,6,Sabrinamouth,1905,Configurable Fault-Tolerant Toolset,Unmanned,2,Navigation,98,Ai Navigation
$3.8M,India,Israel,265,Medium,1905,Qtr 2,June,30,6,Mitchellbury,1905,Configurable Multi-Tasking Info-Mediaries,Unmanned,2,Spy,65,Traditional Rocket
$18.5M,India,Israel,123,Medium,1905,Qtr 2,June,30,6,Port Emily,1905,Grass-Roots Bi-Directional Utilization,Manned,2,Spy,100,Solar Propulsion
$28.5M,India,Israel,343,Medium,1905,Qtr 3,July,5,7,Thomasshire,1905,Ergonomic Homogeneous Initiative,Manned,3,Research,54,Solar Propulsion
$33.1M,India,Israel,233,Medium,1905,Qtr 3,July,7,7,New Alexhaven,1905,Fully-Configurable Local Methodology,Manned,3,Navigation,57,Nuclear Propulsion
$46.5M,India,Israel,265,Medium,1905,Qtr 3,July,9,7,New Breannafurt,1905,Streamlined Radical Protocol,Manned,3,Spy,71,Solar Propulsion
$35.4M,India,Israel,101,Medium,1905,Qtr 3,July,10,7,Kleintown,1905,Decentralized Holistic Functionalities,Unmanned,3,Weather,68,Nuclear Propulsion
$35.2M,India,Japan,296,Low,1905,Qtr 2,June,28,6,West Judithtown,1905,Cloned Multimedia Array,Unmanned,2,Spy,63,Solar Propulsion
$43.4M,India,Japan,244,Low,1905,Qtr 3,July,3,7,Timothyburgh,1905,Assimilated Attitude-Oriented Customer Loyalty,Unmanned,3,Spy,71,Traditional Rocket
$24.5M,India,Japan,28,Low,1905,Qtr 3,July,11,7,Julianstad,1905,De-Engineered Tangible Migration,Manned,3,Research,83,Reusable Rocket
$3.0M,India,Japan,31,Low,1905,Qtr 3,July,12,7,Santosville,1905,User-Friendly Modular Hardware,Manned,3,Spy,52,Ai Navigation
$25.2M,India,Japan,216,Low,1905,Qtr 3,July,16,7,Murrayfort,1905,Integrated Content-Based Flexibility,Manned,3,Spy,52,Nuclear Propulsion
$48.8M,India,Japan,301,Medium,1905,Qtr 2,June,24,6,West Alexander,1905,Versatile Stable Definition,Unmanned,2,Navigation,68,Reusable Rocket
$25.0M,India,Japan,88,Medium,1905,Qtr 3,July,4,7,East Daltonshire,1905,Diverse Non-Volatile Instruction Set,Unmanned,3,Communication,67,Ai Navigation
$41.3M,India,Japan,17,Medium,1905,Qtr 3,July,14,7,East Christinetown,1905,Cross-Platform Upward-Trending Ability,Unmanned,3,Navigation,51,Traditional Rocket
$45.1M,India,Japan,297,Medium,1905,Qtr 3,July,16,7,South Ashley,1905,Vision-Oriented Heuristic Application,Manned,3,Spy,78,Solar Propulsion
$22.1M,India,Russia,32,High,1905,Qtr 2,June,28,6,West Mark,1905,Public-Key Bottom-Line Service-Desk,Unmanned,2,Research,99,Traditional Rocket
$8.4M,India,Russia,48,High,1905,Qtr 3,July,3,7,New Lauren,1905,Mandatory Uniform Success,Manned,3,Research,66,Nuclear Propulsion
$33.5M,India,Russia,92,High,1905,Qtr 3,July,9,7,East Jessica,1905,Future-Proofed Dynamic Approach,Manned,3,Navigation,92,Reusable Rocket
$36.3M,India,Russia,289,High,1905,Qtr 3,July,9,7,Port Anthony,1905,Operative Responsive Support,Manned,3,Research,76,Ai Navigation
$8.9M,India,Russia,229,High,1905,Qtr 3,July,12,7,Port Derekville,1905,Sharable 3Rdgeneration Synergy,Unmanned,3,Communication,52,Nuclear Propulsion
$15.3M,India,Russia,91,Low,1905,Qtr 2,June,26,6,Anneton,1905,Persistent Multi-Tasking Matrices,Manned,2,Research,77,Reusable Rocket
$46.1M,India,Russia,20,Low,1905,Qtr 3,July,3,7,Jamiebury,1905,Optimized Impactful Circuit,Manned,3,Communication,85,Ai Navigation
$12.7M,India,Russia,353,Medium,1905,Qtr 2,June,28,6,Port Stephenbury,1905,Monitored Web-Enabled Attitude,Unmanned,2,Spy,77,Reusable Rocket
$27.0M,India,Uae,170,High,1905,Qtr 2,June,26,6,Robertmouth,1905,Inverse Fault-Tolerant Hub,Unmanned,2,Navigation,63,Reusable Rocket
$30.9M,India,Uae,285,High,1905,Qtr 3,July,16,7,West Maryview,1905,User-Friendly Transitional Array,Manned,3,Spy,88,Nuclear Propulsion
$42.5M,India,Uae,293,Low,1905,Qtr 2,June,27,6,North Donaldland,1905,Programmable Systemic Moderator,Manned,2,Weather,100,Nuclear Propulsion
$18.8M,India,Uae,196,Low,1905,Qtr 3,July,2,7,Patriciachester,1905,Organic Solution-Oriented Orchestration,Manned,3,Communication,64,Reusable Rocket
$49.1M,India,Uae,330,Low,1905,Qtr 3,July,6,7,Grahammouth,1905,Diverse Logistical Success,Unmanned,3,Research,57,Traditional Rocket
$34.8M,India,Uae,211,Low,1905,Qtr 3,July,11,7,Port Tiffanybury,1905,Reverse-Engineered Incremental Neural-Net,Manned,3,Research,82,Nuclear Propulsion
$17.4M,India,Uae,91,Low,1905,Qtr 3,July,13,7,Johnton,1905,Cross-Group Impactful Firmware,Manned,3,Navigation,86,Traditional Rocket
$45.4M,India,Uae,186,Medium,1905,Qtr 2,June,22,6,New Stevenfurt,1905,Upgradable User-Facing Task-Force,Unmanned,2,Research,66,Ai Navigation
$23.8M,India,Uae,172,Medium,1905,Qtr 2,June,28,6,Port Lisa,1905,Reduced Asynchronous Installation,Unmanned,2,Weather,86,Ai Navigation
$4.1M,India,Uae,124,Medium,1905,Qtr 2,June,30,6,Jamesburgh,1905,Cloned Object-Oriented Algorithm,Unmanned,2,Weather,79,Solar Propulsion
$1.9M,India,Uae,306,Medium,1905,Qtr 3,July,15,7,Weeksside,1905,Profound Needs-Based Complexity,Manned,3,Research,56,Nuclear Propulsion
$17.5M,India,Uk,328,High,1905,Qtr 3,July,3,7,Stoneshire,1905,Advanced Optimal Installation,Manned,3,Communication,65,Ai Navigation
$22.6M,India,Uk,13,High,1905,Qtr 3,July,10,7,Melissashire,1905,Up-Sized Disintermediate Ability,Manned,3,Communication,79,Nuclear Propulsion
$28.9M,India,Uk,67,Low,1905,Qtr 2,June,29,6,West Scott,1905,Reduced Object-Oriented Product,Unmanned,2,Weather,80,Solar Propulsion
$16.3M,India,Uk,329,Low,1905,Qtr 3,July,5,7,Holdentown,1905,Persevering 6Thgeneration Productivity,Manned,3,Communication,68,Solar Propulsion
$23.2M,India,Uk,274,Low,1905,Qtr 3,July,6,7,North Valeriefurt,1905,Centralized Background Workforce,Manned,3,Spy,98,Ai Navigation
$23.2M,India,Uk,174,Low,1905,Qtr 3,July,8,7,North Kristin,1905,Implemented System-Worthy Alliance,Unmanned,3,Navigation,64,Traditional Rocket
$8.4M,India,Uk,285,Low,1905,Qtr 3,July,15,7,Port Thomasshire,1905,Realigned Incremental Customer Loyalty,Manned,3,Navigation,88,Reusable Rocket
$8.1M,India,Uk,45,Low,1905,Qtr 3,July,15,7,South Donald,1905,Multi-Layered Neutral Hub,Unmanned,3,Weather,91,Solar Propulsion
$40.5M,India,Uk,128,Medium,1905,Qtr 3,July,1,7,Susanberg,1905,Compatible Client-Driven Customer Loyalty,Manned,3,Weather,88,Solar Propulsion
$29.5M,India,Uk,265,Medium,1905,Qtr 3,July,10,7,North Julianport,1905,Switchable Empowering Budgetary Management,Unmanned,3,Spy,50,Ai Navigation
$23.3M,India,Uk,167,Medium,1905,Qtr 3,July,11,7,Brendaton,1905,Organic Incremental Toolset,Unmanned,3,Weather,75,Solar Propulsion
$10.3M,India,Uk,101,Medium,1905,Qtr 3,July,11,7,South David,1905,Monitored Reciprocal Project,Unmanned,3,Navigation,85,Traditional Rocket
$33.1M,India,Usa,107,High,1905,Qtr 3,July,1,7,Hermanchester,1905,Persevering Mobile Initiative,Unmanned,3,Research,78,Reusable Rocket
$14.9M,India,Usa,365,High,1905,Qtr 3,July,2,7,Danielleshire,1905,Integrated Demand-Driven Graphic Interface,Manned,3,Spy,70,Nuclear Propulsion
$14.3M,India,Usa,362,High,1905,Qtr 3,July,3,7,North Sabrina,1905,Integrated Local Contingency,Manned,3,Spy,68,Reusable Rocket
$1.1M,India,Usa,261,High,1905,Qtr 3,July,4,7,South Danielletown,1905,Triple-Buffered Secondary Archive,Manned,3,Communication,100,Traditional Rocket
$24.5M,India,Usa,177,High,1905,Qtr 3,July,7,7,Benjaminfurt,1905,Decentralized Leadingedge Standardization,Manned,3,Weather,72,Traditional Rocket
$20.0M,India,Usa,273,High,1905,Qtr 3,July,15,7,Jamesbury,1905,Inverse Radical Forecast,Unmanned,3,Spy,59,Ai Navigation
$36.3M,India,Usa,317,High,1905,Qtr 3,July,15,7,Jameshaven,1905,User-Centric Uniform Methodology,Manned,3,Navigation,94,Traditional Rocket
$35.2M,India,Usa,11,Low,1905,Qtr 2,June,28,6,Youngside,1905,Monitored Needs-Based Software,Manned,2,Spy,98,Nuclear Propulsion
$29.9M,India,Usa,294,Low,1905,Qtr 2,June,29,6,East Kristy,1905,Diverse 24Hour Forecast,Unmanned,2,Communication,65,Ai Navigation
$28.9M,India,Usa,271,Low,1905,Qtr 2,June,29,6,Lake Elizabethland,1905,Synchronized Dedicated Array,Unmanned,2,Navigation,73,Nuclear Propulsion
$36.6M,India,Usa,41,Medium,1905,Qtr 2,June,28,6,Lake Madeline,1905,Balanced Global Projection,Unmanned,2,Weather,60,Solar Propulsion
$1.0M,India,Usa,260,Medium,1905,Qtr 3,July,7,7,Markborough,1905,Realigned Fresh-Thinking Instruction Set,Unmanned,3,Research,67,Traditional Rocket
$13.3M,India,Usa,41,Medium,1905,Qtr 3,July,10,7,West Brian,1905,Open-Architected System-Worthy Middleware,Unmanned,3,Research,87,Reusable Rocket
$35.2M,India,Usa,324,Medium,1905,Qtr 3,July,12,7,West Beverlytown,1905,Switchable Tangible Access,Manned,3,Weather,98,Ai Navigation
$2.1M,"India, China",China,80,Low,1905,Qtr 2,June,27,6,North Adrienneport,1905,Organized Web-Enabled Contingency,Manned,2,Research,86,Nuclear Propulsion
$5.3M,"India, China",China,164,Low,1905,Qtr 3,July,6,7,Reidland,1905,Advanced Next Generation Encryption,Manned,3,Weather,71,Solar Propulsion
$48.6M,"India, China",France,358,Low,1905,Qtr 2,June,29,6,Port Amyshire,1905,Innovative Reciprocal Neural-Net,Manned,2,Spy,71,Ai Navigation
$43.7M,"India, China",France,117,Medium,1905,Qtr 3,July,6,7,South Sarahton,1905,Reactive Heuristic Pricing Structure,Unmanned,3,Research,92,Ai Navigation
$26.4M,"India, China",Germany,237,Medium,1905,Qtr 3,July,6,7,Warrenton,1905,Vision-Oriented Contextually-Based Success,Unmanned,3,Weather,92,Traditional Rocket
$26.9M,"India, China",Israel,327,Medium,1905,Qtr 3,July,8,7,Port Roy,1905,Assimilated Local Portal,Unmanned,3,Weather,67,Solar Propulsion
$31.8M,"India, China",Russia,162,Low,1905,Qtr 3,July,10,7,Lake Cassandrabury,1905,Right-Sized Transitional Portal,Manned,3,Communication,61,Nuclear Propulsion
$2.2M,"India, China",Uk,65,High,1905,Qtr 3,July,13,7,Brandiberg,1905,Organic Full-Range Synergy,Unmanned,3,Weather,73,Ai Navigation
$36.1M,"India, China",Uk,224,Medium,1905,Qtr 3,July,16,7,Wileyview,1905,Mandatory Full-Range Initiative,Unmanned,3,Navigation,61,Ai Navigation
$18.6M,"India, China",Usa,218,High,1905,Qtr 3,July,10,7,Keyton,1905,Progressive System-Worthy Ability,Manned,3,Research,82,Nuclear Propulsion
$44.1M,"India, China",Usa,48,Low,1905,Qtr 3,July,10,7,New Jackchester,1905,Optional 6Thgeneration Definition,Manned,3,Research,68,Solar Propulsion
$21.9M,"India, China, France",China,75,High,1905,Qtr 2,June,24,6,East Marilynport,1905,Profound Radical Concept,Unmanned,2,Communication,63,Nuclear Propulsion
$19.7M,"India, China, France",China,290,High,1905,Qtr 2,June,24,6,Jasontown,1905,Triple-Buffered Holistic Complexity,Unmanned,2,Research,97,Reusable Rocket
$27.5M,"India, China, France",China,249,Medium,1905,Qtr 2,June,23,6,South Nicole,1905,Multi-Tiered Multi-State Task-Force,Unmanned,2,Weather,100,Reusable Rocket
$3.8M,"India, China, France",India,323,High,1905,Qtr 3,July,17,7,West Susan,1905,Open-Source Logistical Hierarchy,Manned,3,Weather,65,Solar Propulsion
$8.1M,"India, China, Germany",Germany,159,Medium,1905,Qtr 3,July,17,7,Harrisonside,1905,Assimilated Bi-Directional Matrix,Manned,3,Communication,89,Reusable Rocket
$45.8M,"India, China, Russia",Russia,158,Medium,1905,Qtr 2,June,25,6,Adambury,1905,Exclusive Intangible Algorithm,Unmanned,2,Research,82,Ai Navigation
$0.8M,"India, China, Russia",Usa,28,Medium,1905,Qtr 3,July,14,7,Jimeneztown,1905,Total Clear-Thinking Infrastructure,Manned,3,Navigation,77,Solar Propulsion
$10.8M,"India, China, Uae",France,290,High,1905,Qtr 2,June,25,6,South Stacyhaven,1905,Seamless Foreground Knowledge User,Unmanned,2,Spy,55,Traditional Rocket
$14.3M,"India, China, Uae",Japan,106,Low,1905,Qtr 2,June,23,6,Port Ethanstad,1905,Advanced Dynamic Function,Unmanned,2,Weather,87,Ai Navigation
$40.3M,"India, China, Uk",Germany,112,Low,1905,Qtr 2,June,26,6,Pereztown,1905,Virtual Coherent Graphic Interface,Manned,2,Communication,54,Traditional Rocket
$48.7M,"India, China, Uk",Uae,254,High,1905,Qtr 2,June,26,6,Ethanhaven,1905,Cross-Platform Interactive Functionalities,Unmanned,2,Research,91,Ai Navigation
$43.7M,"India, China, Usa",Uk,299,High,1905,Qtr 3,July,2,7,East Williammouth,1905,Organized 24Hour Adapter,Manned,3,Weather,55,Ai Navigation
$45.5M,"India, France",India,299,High,1905,Qtr 3,July,3,7,East Alisonland,1905,Profit-Focused Homogeneous Adapter,Unmanned,3,Spy,86,Traditional Rocket
$26.4M,"India, France",India,187,Medium,1905,Qtr 2,June,30,6,Sanchezmouth,1905,Intuitive Human-Resource Local Area Network,Unmanned,2,Communication,83,Solar Propulsion
$15.2M,"India, France",Israel,41,Medium,1905,Qtr 2,June,27,6,Lake Nataliehaven,1905,Cloned Global Internet Solution,Unmanned,2,Communication,63,Solar Propulsion
$34.8M,"India, France",Israel,294,Medium,1905,Qtr 3,July,5,7,Josephburgh,1905,Fundamental Coherent Leverage,Unmanned,3,Weather,60,Traditional Rocket
$13.8M,"India, France",Israel,150,Medium,1905,Qtr 3,July,14,7,Andreaside,1905,Extended Radical Ability,Unmanned,3,Research,68,Solar Propulsion
$31.7M,"India, France",Japan,68,High,1905,Qtr 3,July,6,7,North Candice,1905,De-Engineered Tertiary Budgetary Management,Manned,3,Spy,89,Solar Propulsion
$28.3M,"India, France",Japan,311,High,1905,Qtr 3,July,8,7,Michaelhaven,1905,Fundamental Clear-Thinking Capability,Unmanned,3,Navigation,76,Traditional Rocket
$43.1M,"India, France",Russia,225,Low,1905,Qtr 3,July,7,7,South Ashleyville,1905,Organized Mission-Critical Application,Manned,3,Weather,94,Reusable Rocket
$44.8M,"India, France",Russia,61,Medium,1905,Qtr 2,June,30,6,Julieside,1905,Monitored Holistic Graphic Interface,Unmanned,2,Weather,86,Solar Propulsion
$13.4M,"India, France",Uae,68,Low,1905,Qtr 3,July,5,7,Luisland,1905,User-Friendly Full-Range Toolset,Unmanned,3,Spy,54,Solar Propulsion
$27.2M,"India, France",Uk,232,Low,1905,Qtr 3,July,12,7,Rodriguezland,1905,Centralized Incremental Function,Unmanned,3,Spy,56,Ai Navigation
$38.8M,"India, France",Uk,44,Medium,1905,Qtr 2,June,24,6,Port Sandra,1905,Organized 4Thgeneration Collaboration,Unmanned,2,Weather,53,Ai Navigation
$44.9M,"India, France, Israel",Russia,352,Low,1905,Qtr 3,July,16,7,South Michaelbury,1905,Automated Motivating Function,Manned,3,Spy,63,Nuclear Propulsion
$48.5M,"India, France, Japan",China,201,Low,1905,Qtr 2,June,28,6,Lake Robert,1905,Compatible Fresh-Thinking Moratorium,Unmanned,2,Weather,97,Nuclear Propulsion
$11.9M,"India, France, Russia",Uk,127,High,1905,Qtr 3,July,12,7,Lake Markberg,1905,Visionary Foreground Secured Line,Manned,3,Spy,88,Traditional Rocket
$2.3M,"India, France, Russia",Uk,14,Low,1905,Qtr 3,July,16,7,Scottberg,1905,Front-Line Intermediate Initiative,Unmanned,3,Research,97,Traditional Rocket
$1.8M,"India, France, Uae",India,207,Low,1905,Qtr 3,July,11,7,Beanfurt,1905,Configurable Leadingedge Middleware,Unmanned,3,Communication,87,Nuclear Propulsion
$0.8M,"India, France, Usa",Usa,302,High,1905,Qtr 3,July,7,7,North Amandaburgh,1905,Customer-Focused Context-Sensitive Website,Manned,3,Communication,92,Reusable Rocket
$13.6M,"India, Germany",China,293,Low,1905,Qtr 3,July,1,7,East Bridget,1905,Vision-Oriented Solution-Oriented Methodology,Unmanned,3,Navigation,82,Ai Navigation
$40.0M,"India, Germany",France,225,High,1905,Qtr 3,July,16,7,Roblesville,1905,Diverse Client-Driven Initiative,Unmanned,3,Research,97,Traditional Rocket
$32.3M,"India, Germany",France,47,Medium,1905,Qtr 3,July,1,7,South Donaldville,1905,Reduced Contextually-Based Forecast,Manned,3,Research,50,Traditional Rocket
$28.9M,"India, Germany",France,220,Medium,1905,Qtr 3,July,10,7,West Tiffanystad,1905,Cloned Intermediate Firmware,Manned,3,Weather,56,Solar Propulsion
$24.7M,"India, Germany",India,211,Medium,1905,Qtr 2,June,30,6,Benjaminborough,1905,Fully-Configurable Client-Server Service-Desk,Unmanned,2,Navigation,55,Traditional Rocket
$20.5M,"India, Germany",Japan,284,Medium,1905,Qtr 2,June,27,6,Lake Christopherview,1905,Adaptive Content-Based Open System,Unmanned,2,Navigation,69,Traditional Rocket
$4.6M,"India, Germany",Russia,251,High,1905,Qtr 3,July,4,7,Summersburgh,1905,Expanded Mobile Hub,Manned,3,Weather,67,Solar Propulsion
$23.2M,"India, Germany",Uae,78,Low,1905,Qtr 2,June,23,6,Lake Austinberg,1905,Streamlined Interactive Artificial Intelligence,Manned,2,Communication,81,Ai Navigation
$16.2M,"India, Germany",Usa,41,High,1905,Qtr 3,July,10,7,South Dianeview,1905,Centralized Reciprocal Complexity,Manned,3,Weather,82,Reusable Rocket
$6.1M,"India, Germany, China",Japan,253,Medium,1905,Qtr 3,July,9,7,Fischerfort,1905,Persistent Heuristic Process Improvement,Unmanned,3,Research,94,Solar Propulsion
$18.4M,"India, Germany, France",Russia,223,Low,1905,Qtr 2,June,27,6,West Gloria,1905,User-Friendly Global Policy,Unmanned,2,Navigation,84,Solar Propulsion
$32.7M,"India, Germany, Israel",France,215,Low,1905,Qtr 2,June,25,6,East Jill,1905,Adaptive Stable Time-Frame,Unmanned,2,Weather,92,Traditional Rocket
$2.0M,"India, Germany, Israel",India,43,Low,1905,Qtr 3,July,7,7,Ashleymouth,1905,Universal Explicit Synergy,Unmanned,3,Research,85,Traditional Rocket
$42.0M,"India, Germany, Israel",Uk,112,Medium,1905,Qtr 3,July,4,7,Sandraburgh,1905,Total Encompassing Conglomeration,Unmanned,3,Research,74,Reusable Rocket
